Grid ID,pointcloud.las,dem.tif,dsm.tif,msavi.tif,multispectral.tif,ndvi.tif,orthophoto.tif,dem.png,dsm.png,msavi.png,multispectral.png,ndvi.png,orthophoto.png,technical-report.pdf
RUH-Site01-Grid01,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site01-Grid02,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site01-Grid04,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site01-Grid09,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site01-Grid100,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site01-Grid102,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site01-Grid106,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site01-Grid116,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site01-Grid119,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site01-Grid12,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site01-Grid23,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site01-Grid47,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site01-Grid61,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site01-Grid65,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site01-Grid67,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site01-Grid68,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site01-Grid69,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site01-Grid76,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site01-Grid77,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site01-Grid81,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site01-Grid85,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site01-Grid86,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site01-Grid88,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site01-Grid89,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site01-Grid95,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site01-Grid98,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site01-Grid99,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site04-Grid04,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site04-Grid06,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site04-Grid102,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site04-Grid110,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site04-Grid117,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site04-Grid168,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site04-Grid170,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site04-Grid172,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site04-Grid185,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site04-Grid200,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site04-Grid221,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site04-Grid223,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site04-Grid25,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site04-Grid35,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site04-Grid37,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site04-Grid39,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site04-Grid40,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site04-Grid51,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site04-Grid60,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site04-Grid66,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site04-Grid67,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site04-Grid83,available,available,available,available,available,available,available,available,available,available,available,available,available,available
RUH-Site04-Grid84,available,available,available,available,available,available,available,available,available,available,available,available,available,available
