Grid ID,DEM,DSM,Orthophoto,Multispectral,NDVI,MSAVI
RUH-Site01-Grid03,Y,Y,Y,Y,Y,Y
RUH-Site01-Grid107,Y,Y,Y,Y,Y,Y
RUH-Site01-Grid11,Y,Y,Y,Y,Y,Y
RUH-Site01-Grid24,Y,Y,Y,Y,Y,Y
RUH-Site01-Grid25,Y,Y,Y,Y,Y,Y
RUH-Site01-Grid28,Y,Y,Y,Y,Y,Y
RUH-Site01-Grid29,Y,Y,Y,Y,Y,Y
RUH-Site01-Grid43,Y,Y,Y,Y,Y,Y
RUH-Site01-Grid44,Y,Y,Y,Y,Y,Y
RUH-Site01-Grid46,Y,Y,Y,Y,Y,Y
RUH-Site01-Grid50,Y,Y,Y,Y,Y,Y
RUH-Site01-Grid51,Y,Y,Y,Y,Y,Y
RUH-Site01-Grid63,Y,Y,Y,Y,Y,Y
RUH-Site01-Grid64,Y,Y,Y,Y,Y,Y
RUH-Site01-Grid70,Y,Y,Y,Y,Y,Y
RUH-Site01-Grid71,Y,Y,Y,Y,Y,Y
RUH-Site01-Grid90,Y,Y,Y,Y,Y,Y
RUH-Site04-Grid100,Y,Y,Y,Y,Y,Y
RUH-Site04-Grid118,Y,Y,Y,Y,Y,Y
RUH-Site04-Grid119,Y,Y,Y,Y,Y,Y
RUH-Site04-Grid120,Y,Y,Y,Y,Y,Y
RUH-Site04-Grid132,Y,Y,Y,Y,Y,Y
RUH-Site04-Grid133,Y,Y,Y,Y,Y,Y
RUH-Site04-Grid134,Y,Y,Y,Y,Y,Y
RUH-Site04-Grid135,Y,Y,Y,Y,Y,Y
RUH-Site04-Grid136,Y,Y,Y,Y,Y,Y
RUH-Site04-Grid137,Y,Y,Y,Y,Y,Y
RUH-Site04-Grid138,Y,Y,Y,Y,Y,Y
RUH-Site04-Grid139,Y,Y,Y,Y,Y,Y
RUH-Site04-Grid140,Y,Y,Y,Y,Y,Y
RUH-Site04-Grid15,Y,Y,Y,Y,Y,Y
RUH-Site04-Grid150,Y,Y,Y,Y,Y,Y
RUH-Site04-Grid151,Y,Y,Y,Y,Y,Y
RUH-Site04-Grid152,Y,Y,Y,Y,Y,Y
RUH-Site04-Grid153,Y,Y,Y,Y,Y,Y
RUH-Site04-Grid154,Y,Y,Y,Y,Y,Y
RUH-Site04-Grid155,Y,Y,Y,Y,Y,Y
RUH-Site04-Grid156,Y,Y,Y,Y,Y,Y
RUH-Site04-Grid157,Y,Y,Y,Y,Y,Y
RUH-Site04-Grid167,Y,Y,Y,Y,Y,Y
RUH-Site04-Grid168,Y,Y,Y,Y,Y,Y
RUH-Site04-Grid169,Y,Y,Y,Y,Y,Y
RUH-Site04-Grid170,Y,Y,Y,Y,Y,Y
RUH-Site04-Grid171,Y,Y,Y,Y,Y,Y
RUH-Site04-Grid172,Y,Y,Y,Y,Y,Y
RUH-Site04-Grid185,Y,Y,Y,Y,Y,Y
RUH-Site04-Grid186,Y,Y,Y,Y,Y,Y
RUH-Site04-Grid187,Y,Y,Y,Y,Y,Y
RUH-Site04-Grid188,Y,Y,Y,Y,Y,Y
RUH-Site04-Grid203,Y,Y,Y,Y,Y,Y
RUH-Site04-Grid205,Y,Y,Y,Y,Y,Y
RUH-Site04-Grid206,Y,Y,Y,Y,Y,Y
RUH-Site04-Grid221,Y,Y,Y,Y,Y,Y
RUH-Site04-Grid222,Y,Y,Y,Y,Y,Y
RUH-Site04-Grid223,Y,Y,Y,Y,Y,Y
RUH-Site04-Grid240,Y,Y,Y,Y,Y,Y
RUH-Site04-Grid43,Y,Y,Y,Y,Y,Y
