grid-id,flight,Calibration Coefficients (.CLC),Calibration Info (.CLI),Debug Log (.DBG),Inertial Measurement Data (.IMU),RGB Camera Image (.JPG),LiDAR Raw Data (.LDR),LiDAR Trajectory (.LDRT),Event Marker (.MRK),Real-time Position (.RPOS),Flight Report (.RPT),RTK Base Data (.RTB),RTK Positioning (.RTK),RTK Log (.RTL),Sync Signal (.SIG),Flight Plan (.pdf)
RUH-Site04-Grid101,2,2,2,2,2,970,2,2,2,2,2,2,2,2,2,1
RUH-Site04-Grid102,2,2,2,2,2,1382,2,2,2,2,2,2,2,2,2,1
RUH-Site04-Grid103,2,2,2,2,2,1396,2,2,2,2,2,2,2,2,2,1
RUH-Site04-Grid109,2,2,2,2,2,1376,2,2,2,2,2,2,2,2,2,1
RUH-Site04-Grid110,5,4,4,4,4,1592,4,4,4,4,5,4,4,4,4,1
RUH-Site04-Grid111,2,2,2,2,2,1440,2,2,2,2,2,2,2,2,2,1
RUH-Site04-Grid112,3,3,3,3,3,1594,3,3,3,3,3,3,3,3,3,1
RUH-Site04-Grid113,2,2,2,2,2,1440,2,2,2,2,2,2,2,2,2,1
RUH-Site04-Grid114,2,2,2,2,2,1412,2,2,2,2,2,2,2,2,2,1
RUH-Site04-Grid115,4,4,4,4,4,1516,4,4,4,4,4,4,4,4,4,1
RUH-Site04-Grid116,2,2,2,2,2,1470,2,2,2,2,2,2,2,2,2,1
RUH-Site04-Grid117,2,2,2,2,2,1484,2,2,2,2,2,2,2,2,2,1
RUH-Site04-Grid121,2,2,2,2,2,1096,2,2,2,2,2,2,2,2,2,1
RUH-Site04-Grid122,2,2,2,2,2,1402,2,2,2,2,2,2,2,2,2,1
RUH-Site04-Grid123,3,2,2,2,2,1388,2,2,2,2,3,2,2,2,2,1
RUH-Site04-Grid200,4,4,4,4,4,1602,4,4,4,4,4,4,4,4,4,1
RUH-Site04-Grid201,5,3,3,3,3,1510,3,3,3,3,6,3,3,3,3,1
RUH-Site04-Grid202,3,3,3,3,3,1496,3,3,3,3,3,3,3,3,3,1
RUH-Site04-Grid218,3,3,3,3,3,1574,3,3,3,3,3,3,3,3,3,1
RUH-Site04-Grid219,2,2,2,2,2,1536,2,2,2,2,2,2,2,2,2,1
RUH-Site04-Grid220,3,3,3,3,3,1570,3,3,3,3,4,3,3,3,3,1
RUH-Site04-Grid238,2,2,2,2,2,1414,2,2,2,2,2,2,2,2,2,1
RUH-Site04-Grid239,2,2,2,2,2,934,2,2,2,2,2,2,2,2,2,1
RUH-Site04-Grid49,2,2,2,2,2,868,2,2,2,2,2,2,2,2,2,1
RUH-Site04-Grid51,3,3,3,3,3,1388,3,3,3,3,3,3,3,3,3,1
RUH-Site04-Grid52,3,3,3,3,3,1472,3,3,3,3,3,3,3,3,3,1
RUH-Site04-Grid53,3,3,3,3,3,1594,3,3,3,3,3,3,3,3,3,1
RUH-Site04-Grid55,3,4,4,4,4,1668,4,4,3,4,4,4,4,4,4,1
RUH-Site04-Grid56,3,3,3,3,3,1564,3,3,3,3,3,3,3,3,3,1
RUH-Site04-Grid57,2,2,2,2,2,1606,2,2,2,2,2,2,2,2,2,1
RUH-Site04-Grid58,3,3,3,3,3,1622,3,3,3,3,3,3,3,3,3,1
RUH-Site04-Grid59,2,2,2,2,2,1616,2,2,2,2,2,2,2,2,2,1
RUH-Site04-Grid60,2,2,2,2,2,1640,2,2,2,2,2,2,2,2,2,1
RUH-Site04-Grid61,3,3,3,3,3,1576,3,3,3,3,3,3,3,3,3,1
RUH-Site04-Grid62,2,2,2,2,2,1478,2,2,2,2,2,2,2,2,2,1
RUH-Site04-Grid63,4,4,4,4,4,1352,4,4,4,4,4,4,4,4,4,1
RUH-Site04-Grid66,2,2,2,2,2,866,2,2,2,2,2,2,2,2,2,1
RUH-Site04-Grid67,2,2,2,2,2,1382,2,2,2,2,2,2,2,2,2,1
RUH-Site04-Grid68,2,2,2,2,2,1420,2,2,2,2,2,2,2,2,2,1
RUH-Site04-Grid76,3,3,3,3,3,1500,3,3,3,3,3,3,3,3,3,1
RUH-Site04-Grid77,4,4,4,4,4,1414,4,4,4,4,4,4,4,4,4,1
RUH-Site04-Grid78,3,3,3,3,3,1472,3,3,3,3,3,3,3,3,3,1
RUH-Site04-Grid79,2,2,2,2,2,1588,2,2,2,2,2,2,2,2,2,1
RUH-Site04-Grid80,3,3,3,3,3,1474,3,3,3,3,3,3,3,3,3,1
RUH-Site04-Grid81,2,2,2,2,2,1104,2,2,2,2,2,2,2,2,2,1
RUH-Site04-Grid83,2,2,2,2,2,980,2,2,2,2,2,2,2,2,2,1
RUH-Site04-Grid84,2,2,2,2,2,1378,2,2,2,2,2,2,2,2,2,1
RUH-Site04-Grid85,4,4,4,4,4,1396,4,4,4,4,4,4,4,4,4,1
RUH-Site04-Grid91,3,3,3,3,3,1508,3,3,3,3,3,3,3,3,3,1
RUH-Site04-Grid92,2,2,2,2,2,1392,2,2,2,2,2,2,2,2,2,1
RUH-Site04-Grid93,3,3,3,3,3,1386,3,3,3,3,3,3,3,3,3,1
RUH-Site04-Grid94,3,2,2,2,2,1484,2,2,2,2,4,2,2,2,2,1
RUH-Site04-Grid95,3,3,3,3,3,1546,3,3,3,3,3,3,3,3,3,1
RUH-Site04-Grid96,5,5,5,5,5,1600,5,5,5,5,5,5,5,5,5,1
RUH-Site04-Grid97,3,3,3,3,3,1588,3,3,3,3,3,3,3,3,3,1
RUH-Site04-Grid98,2,2,2,2,2,1482,2,2,2,2,2,2,2,2,2,1
RUH-Site04-Grid99,2,2,2,2,2,902,2,2,2,2,2,2,2,2,2,1
