"grid_id","size_gb"
"RUH-Site01-Grid01","19.072"
"RUH-Site01-Grid02","55.541"
"RUH-Site01-Grid04","38.488"
"RUH-Site01-Grid09","29.566"
"RUH-Site01-Grid100","55.262"
"RUH-Site01-Grid102","53.252"
"RUH-Site01-Grid106","54.126"
"RUH-Site01-Grid115","37.315"
"RUH-Site01-Grid116","47.348"
"RUH-Site01-Grid117","49.551"
"RUH-Site01-Grid119","70.964"
"RUH-Site01-Grid12","59.106"
"RUH-Site01-Grid21","63.105"
"RUH-Site01-Grid22","57.391"
"RUH-Site01-Grid23","48.122"
"RUH-Site01-Grid37","53.935"
"RUH-Site01-Grid41","47.017"
"RUH-Site01-Grid47","56.835"
"RUH-Site01-Grid61","53.87"
"RUH-Site01-Grid65","56.843"
"RUH-Site01-Grid67","53.707"
"RUH-Site01-Grid68","61.369"
"RUH-Site01-Grid69","57.655"
"RUH-Site01-Grid76","57.042"
"RUH-Site01-Grid77","59.843"
"RUH-Site01-Grid79","43.106"
"RUH-Site01-Grid81","57.116"
"RUH-Site01-Grid85","51.509"
"RUH-Site01-Grid86","53.841"
"RUH-Site01-Grid88","59.325"
"RUH-Site01-Grid89","56.61"
"RUH-Site01-Grid95","56.505"
"RUH-Site01-Grid98","58.731"
"RUH-Site01-Grid99","58.733"
"RUH-Site04-Grid04","43.327"
"RUH-Site04-Grid06","42.721"
"RUH-Site04-Grid102","46.112"
"RUH-Site04-Grid110","47.194"
"RUH-Site04-Grid117","49.223"
"RUH-Site04-Grid168","51.116"
"RUH-Site04-Grid170","49.071"
"RUH-Site04-Grid172","43.783"
"RUH-Site04-Grid185","52.365"
"RUH-Site04-Grid200","51.04"
"RUH-Site04-Grid221","52.23"
"RUH-Site04-Grid223","37.681"
"RUH-Site04-Grid25","45.314"
"RUH-Site04-Grid35","47.169"
"RUH-Site04-Grid37","40.908"
"RUH-Site04-Grid39","48.874"
"RUH-Site04-Grid40","49.315"
"RUH-Site04-Grid51","55.033"
"RUH-Site04-Grid60","55.785"
"RUH-Site04-Grid66","27.863"
"RUH-Site04-Grid67","45.177"
"RUH-Site04-Grid83","29.076"
"RUH-Site04-Grid84","46.387"
