path,grid-id,report-json,contour,dem,dsm,orthophoto,pointcloud,multispectral,ndvi,msavi
D:\GIZ\Site01\Grid01,GIZ-Site01-Grid01,False,False,True,True,True,True,True,True,True
D:\GIZ\Site01\Grid02,GIZ-Site01-Grid02,False,False,True,True,True,True,True,True,True
D:\RUH\Site01\Grid03,RUH-Site01-Grid03,False,False,True,True,True,True,True,True,True
D:\RUH\Site01\Grid103,RUH-Site01-Grid103,False,False,True,True,True,True,True,True,True
D:\RUH\Site01\Grid107,RUH-Site01-Grid107,False,False,True,True,True,True,True,True,True
D:\RUH\Site01\Grid11,RUH-Site01-Grid11,False,False,True,True,True,True,True,True,True
D:\RUH\Site02\Grid02,RUH-Site02-Grid02,False,False,True,True,True,True,True,True,True
D:\RUH\Site02\Grid03,RUH-Site02-Grid03,False,False,True,True,True,True,True,True,True
D:\RUH\Site02\Grid04,RUH-Site02-Grid04,False,False,True,True,True,True,True,True,True
D:\RUH\Site02\Grid05,RUH-Site02-Grid05,False,False,True,True,True,True,True,True,True
D:\RUH\Site02\Grid07,RUH-Site02-Grid07,False,False,True,True,True,True,True,True,True
D:\RUH\Site02\Grid08,RUH-Site02-Grid08,False,False,True,True,True,True,True,True,True
D:\RUH\Site02\Grid09,RUH-Site02-Grid09,False,False,True,True,True,True,True,True,True
D:\RUH\Site02\Grid10,RUH-Site02-Grid10,False,False,True,True,True,True,True,True,True
D:\RUH\Site02\Grid11,RUH-Site02-Grid11,False,False,True,True,True,True,True,True,True
D:\RUH\Site02\Grid13,RUH-Site02-Grid13,False,False,True,True,True,True,True,True,True
D:\RUH\Site02\Grid14,RUH-Site02-Grid14,False,False,True,True,True,True,True,True,True
D:\RUH\Site02\Grid15,RUH-Site02-Grid15,False,False,True,True,True,True,True,True,True
D:\RUH\Site02\Grid17,RUH-Site02-Grid17,False,False,True,True,True,True,True,True,True
D:\RUH\Site02\Grid18,RUH-Site02-Grid18,False,False,True,True,True,True,True,True,True
D:\RUH\Site02\Grid19,RUH-Site02-Grid19,False,False,True,True,True,True,True,True,True
D:\RUH\Site02\Grid20,RUH-Site02-Grid20,False,False,True,True,True,True,True,True,True
D:\RUH\Site02\Grid21,RUH-Site02-Grid21,False,False,True,True,True,True,True,True,True
D:\RUH\Site02\Grid24,RUH-Site02-Grid24,False,False,True,True,True,True,True,True,True
D:\RUH\Site02\Grid25,RUH-Site02-Grid25,False,False,True,True,True,True,True,True,True
D:\RUH\Site02\Grid26,RUH-Site02-Grid26,False,False,True,True,True,True,True,True,True
D:\RUH\Site02\Grid28,RUH-Site02-Grid28,False,False,True,True,True,True,True,True,True
D:\RUH\Site02\Grid29,RUH-Site02-Grid29,False,False,True,True,True,True,True,True,True
D:\RUH\Site03\Grid03,RUH-Site03-Grid03,False,False,True,True,True,True,True,True,True
D:\RUH\Site03\Grid04,RUH-Site03-Grid04,False,False,True,True,True,True,True,True,True
D:\RUH\Site03\Grid05,RUH-Site03-Grid05,False,False,True,True,True,True,True,True,True
D:\RUH\Site03\Grid07,RUH-Site03-Grid07,False,False,True,True,True,True,True,True,True
D:\RUH\Site03\Grid10,RUH-Site03-Grid10,False,False,True,True,True,True,True,True,True
D:\RUH\Site04\Grid118,RUH-Site04-Grid118,False,False,True,True,True,True,True,True,True
D:\RUH\Site04\Grid120,RUH-Site04-Grid120,False,False,True,True,True,True,True,True,True
D:\RUH\Site04\Grid136,RUH-Site04-Grid136,False,False,True,True,True,True,True,True,True
D:\RUH\Site04\Grid197,RUH-Site04-Grid197,False,False,True,True,True,True,True,True,True
D:\RUH\Site04\Grid217,RUH-Site04-Grid217,False,False,True,True,True,True,True,True,True
D:\RUH\Site04\Grid253,RUH-Site04-Grid253,False,False,True,True,True,True,True,True,True
D:\RUH\Site04\Grid43,RUH-Site04-Grid43,False,False,True,True,True,True,True,True,True
