Grid ID,Size bytes,Size
RUH-Site01-Grid05,51106391788,47.60 GB
RUH-Site01-Grid10,48946774776,45.59 GB
RUH-Site01-Grid105,55229517247,51.44 GB
RUH-Site01-Grid118,50033099764,46.60 GB
RUH-Site01-Grid126,54292480519,50.56 GB
RUH-Site01-Grid15,60258987233,56.12 GB
RUH-Site01-Grid16,68746907690,64.03 GB
RUH-Site01-Grid17,62768013803,58.46 GB
RUH-Site01-Grid19,61520173265,57.30 GB
RUH-Site01-Grid24,41816449411,38.94 GB
RUH-Site01-Grid26,65857924103,61.33 GB
RUH-Site01-Grid30,55150131517,51.36 GB
RUH-Site01-Grid32,57290242250,53.36 GB
RUH-Site01-Grid33,56493097181,52.61 GB
RUH-Site01-Grid48,56694809670,52.80 GB
RUH-Site01-Grid59,24197558463,22.54 GB
RUH-Site01-Grid72,60704458635,56.54 GB
RUH-Site01-Grid73,63537575134,59.17 GB
RUH-Site01-Grid74,66243116196,61.69 GB
RUH-Site01-Grid75,55927733842,52.09 GB
RUH-Site01-Grid82,60081494294,55.96 GB
RUH-Site01-Grid87,55717486968,51.89 GB
RUH-Site01-Grid96,50652664499,47.17 GB
RUH-Site04-Grid03,50544771923,47.07 GB
RUH-Site04-Grid121,35381894354,32.95 GB
RUH-Site04-Grid141,37108448188,34.56 GB
RUH-Site04-Grid153,51095432854,47.59 GB
RUH-Site04-Grid154,47930697695,44.64 GB
RUH-Site04-Grid81,36572031722,34.06 GB
RUH-Site04-Grid85,51931082089,48.36 GB
RUH-Site04-Grid97,48648674919,45.31 GB
RUH-Site04-Grid98,46120807744,42.95 GB
RUH-Site05-Grid01,31297974029,29.15 GB
RUH-Site05-Grid29,51100908605,47.59 GB
RUH-Site05-Grid42,53433924028,49.76 GB
RUH-Site05-Grid43,49211546099,45.83 GB
RUH-Site05-Grid55,45843549211,42.70 GB
RUH-Site05-Grid60,51624908244,48.08 GB
