Grid ID,Size bytes,Size
RUH-Site01-Grid05,42190080280,39.29 GB
RUH-Site01-Grid10,46857254982,43.64 GB
RUH-Site01-Grid105,52079648060,48.50 GB
RUH-Site01-Grid118,83878570058,78.12 GB
RUH-Site01-Grid126,74129836660,69.04 GB
RUH-Site01-Grid15,39919374604,37.18 GB
RUH-Site01-Grid16,45934809290,42.78 GB
RUH-Site01-Grid17,41611742431,38.75 GB
RUH-Site01-Grid19,88319256657,82.25 GB
RUH-Site01-Grid24,66945410521,62.35 GB
RUH-Site01-Grid26,84776040818,78.95 GB
RUH-Site01-Grid30,48458175602,45.13 GB
RUH-Site01-Grid32,49859607009,46.44 GB
RUH-Site01-Grid33,49821816982,46.40 GB
RUH-Site01-Grid48,49104529296,45.73 GB
RUH-Site01-Grid59,24079700101,22.43 GB
RUH-Site01-Grid72,51900542914,48.34 GB
RUH-Site01-Grid73,53091591359,49.45 GB
RUH-Site01-Grid74,55397730536,51.59 GB
RUH-Site01-Grid75,47551767249,44.29 GB
RUH-Site01-Grid82,56860554340,52.96 GB
RUH-Site01-Grid87,51967000475,48.40 GB
RUH-Site01-Grid96,50557392906,47.09 GB
RUH-Site04-Grid03,73833863846,68.76 GB
RUH-Site04-Grid121,35759709321,33.30 GB
RUH-Site04-Grid141,41049442055,38.23 GB
RUH-Site04-Grid153,40930353059,38.12 GB
RUH-Site04-Grid154,38893529681,36.22 GB
RUH-Site04-Grid81,38513440200,35.87 GB
RUH-Site04-Grid85,42780481053,39.84 GB
RUH-Site04-Grid97,54733401867,50.97 GB
RUH-Site04-Grid98,50270532559,46.82 GB
RUH-Site05-Grid01,34626702808,32.25 GB
RUH-Site05-Grid29,57898697877,53.92 GB
RUH-Site05-Grid42,61975301753,57.72 GB
RUH-Site05-Grid43,57711269784,53.75 GB
RUH-Site05-Grid55,55460070831,51.65 GB
RUH-Site05-Grid60,57739709119,53.77 GB
